EstacaoCodigo,NivelConsistencia,Data,Hora,MediaDiaria,MetodoObtencaoVazoes,Maxima,Minima,Media,DiaMaxima,DiaMinima,MaximaStatus,MinimaStatus,MediaStatus,MediaAnual,MediaAnualStatus,Vazao01,Vazao02,Vazao03,Vazao04,Vazao05,Vazao06,Vazao07,Vazao08,Vazao09,Vazao10,Vazao11,Vazao12,Vazao13,Vazao14,Vazao15,Vazao16,Vazao17,Vazao18,Vazao19,Vazao20,Vazao21,Vazao22,Vazao23,Vazao24,Vazao25,Vazao26,Vazao27,Vazao28,Vazao29,Vazao30,Vazao31,Vazao01Status,Vazao02Status,Vazao03Status,Vazao04Status,Vazao05Status,Vazao06Status,Vazao07Status,Vazao08Status,Vazao09Status,Vazao10Status,Vazao11Status,Vazao12Status,Vazao13Status,Vazao14Status,Vazao15Status,Vazao16Status,Vazao17Status,Vazao18Status,Vazao19Status,Vazao20Status,Vazao21Status,Vazao22Status,Vazao23Status,Vazao24Status,Vazao25Status,Vazao26Status,Vazao27Status,Vazao28Status,Vazao29Status,Vazao30Status,Vazao31Status
65370000,2,01-01-1947,,1,1,2733,78,1526,15,28,1,1,1,,0,1255,1332,1255,1101,1024,947,87,1332,2424,2032,1486,1178,947,2228,262,2228,2326,213,2032,2032,1836,164,1563,1409,1178,1024,87,78,1409,1486,1332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,02-01-1947,,1,1,952,1101,40816,20,2,1,1,1,,0,1255,1101,1332,1255,1738,164,1563,1486,1409,164,3072,456,552,6935,4965,3411,3411,6935,622,9363,636,6935,538,4695,566,6645,524,456,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
65370000,2,03-01-1947,,1,1,375,825,18313,1,30,1,1,1,,0,3637,3298,2959,2522,2424,2228,2032,1934,1934,1738,213,213,164,164,164,164,1836,3072,213,1934,1738,1563,1332,1178,1178,1024,87,87,87,825,825,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,04-01-1947,,1,1,3072,69,13027,7,27,1,1,1,,0,78,78,735,735,825,1409,2959,2326,1738,1563,1486,1409,1332,1178,1024,87,164,1563,1409,1178,1024,947,947,825,78,735,69,2326,2032,1836,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65370000,2,05-01-1947,,1,1,3072,78,13713,19,8,1,1,1,,0,1409,1332,1738,1409,1101,1024,87,78,1332,2733,1836,1486,1255,1101,1024,947,87,825,2846,1738,1486,1255,213,1738,1563,1409,1255,1178,1024,947,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,06-01-1947,,1,1,235,645,45528,12,8,1,1,1,,0,78,78,78,735,735,735,69,645,645,69,156,215,138,184,952,552,429,402,402,3885,375,375,3637,3298,2846,262,2522,2326,213,1934,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65370000,2,07-01-1947,,1,1,8892,1178,2242,4,25,1,1,1,,0,1836,1738,2959,8892,51,3637,3185,2733,2424,2228,2032,1934,1836,1738,164,1563,1563,1486,1486,1409,1332,1332,1255,1255,1178,1178,1836,2522,213,1934,213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,08-01-1947,,1,1,112,1409,28374,1,28,1,1,1,,0,1036,4965,3885,3411,2846,2522,262,2846,3524,3637,3298,3072,2733,2424,2326,2228,2032,1934,1934,1836,1738,164,164,1563,1563,1486,1486,1409,1409,1486,8107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,09-01-1947,,1,1,3565,2228,71542,24,16,1,1,1,,0,708,11032,708,4695,3637,3411,3072,2846,3072,2733,262,2522,2424,2424,2326,2228,3411,8578,1036,766,622,456,483,254,254,1524,1273,952,9856,766,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65370000,2,10-01-1947,,1,1,1137,1563,41167,1,31,1,1,1,,0,10192,9049,8578,8735,7225,622,58,538,4965,429,3885,3524,3298,2959,2846,2733,262,2846,262,2424,213,2326,2424,3885,3524,2959,262,2424,1934,164,1563,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,11-01-1947,,1,1,65,87,21685,4,30,1,1,1,,0,1563,3637,566,594,429,3637,3185,2959,262,2522,2326,213,2032,1836,1738,164,1563,1486,1409,1332,1486,1332,1255,1255,1178,1101,1101,1024,947,87,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65370000,2,12-01-1947,,1,1,594,78,15465,17,9,1,1,1,,0,87,1563,1255,1101,1024,947,87,825,78,1409,164,1486,1178,1024,1934,3524,51,3411,2424,213,1934,1738,1486,1409,1255,1178,1024,947,87,825,78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,01-01-1948,,1,1,58,6,16146,22,15,1,1,1,,0,78,78,78,735,735,735,735,735,69,69,69,69,645,645,6,6,6,69,735,1101,4425,483,2424,2032,429,402,3185,2846,2959,2522,213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,02-01-1948,,1,1,1036,164,4044,15,2,1,1,1,,0,1836,164,164,2733,2032,1934,2326,65,456,3885,3185,262,2326,213,10024,708,58,4695,3885,4155,2522,2959,4425,429,3885,622,737,552,51,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
65370000,2,03-01-1948,,1,1,538,1255,26526,12,30,1,1,1,,0,483,429,375,3298,2959,2846,2733,2522,2424,2326,3885,524,4695,3637,2733,2326,213,2522,2424,2228,213,1934,1934,1836,1836,164,1563,1486,1332,1255,1486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,04-01-1948,,1,1,566,69,12694,4,30,1,1,1,,0,1409,1332,1738,483,2424,1934,164,1563,1409,1409,1255,1178,1101,1101,1101,1024,1024,947,947,87,87,825,825,78,78,825,78,735,735,69,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65370000,2,05-01-1948,,1,1,231,735,39686,17,15,1,1,1,,0,78,87,2326,2228,1255,1101,1024,947,87,825,825,78,78,78,735,375,209,9856,10024,6645,4695,4155,3411,3072,2733,2522,2326,1137,9688,679,4965,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,06-01-1948,,1,1,456,1024,20072,1,29,1,1,1,,0,456,402,3637,3185,2846,2733,2522,2326,2228,213,2032,2228,2228,1934,1836,1738,164,1563,1486,1409,1332,1332,1255,1255,1255,1178,1178,1101,1024,1024,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65370000,2,07-01-1948,,1,1,10192,735,18916,27,13,1,1,1,,0,947,947,1101,1024,947,947,87,87,87,825,825,78,735,1255,1255,947,1024,947,1101,1409,1101,1024,1178,2032,1563,6935,9856,608,3524,2424,3298,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,08-01-1948,,1,1,795,1101,29266,2,31,1,1,1,,0,456,7515,552,3885,538,456,483,622,4695,375,3411,3885,3072,262,2326,1934,1738,164,1563,1486,1409,1409,1332,1178,1255,2424,2032,1563,1255,1178,1101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,09-01-1948,,1,1,262,78,11977,11,9,1,1,1,,0,1024,1024,947,947,87,87,825,825,78,947,2522,213,1563,1332,1024,947,947,87,1486,1101,1332,1178,1024,947,87,1024,2326,1738,1332,1178,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65370000,2,10-01-1948,,1,1,1935,51,30965,28,22,1,1,1,,0,1024,1024,947,636,3885,2424,213,164,1486,1332,213,1738,1178,825,735,69,645,645,555,555,555,51,51,1563,2733,1486,1332,1614,1578,8735,147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,11-01-1948,,1,1,483,51,18351,1,30,1,1,1,,0,456,4155,3185,2846,262,2733,2733,2228,213,2228,2032,1836,1738,1486,1409,2032,2228,2032,1409,1178,1101,1101,1024,1024,87,78,69,6,555,51,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65370000,2,12-01-1948,,1,1,2424,42,7173,16,2,1,1,1,,0,465,42,42,51,6,69,78,87,78,6,42,69,78,42,735,2326,87,1024,825,69,645,645,6,87,78,78,735,6,6,555,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,01-01-1949,,1,1,9856,42,15193,10,3,1,1,1,,0,51,465,42,42,465,465,51,2032,3185,8578,3637,262,2733,3072,2424,1332,164,164,87,947,1024,1178,825,735,69,69,87,735,825,69,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,02-01-1949,,1,1,1332,2925,5887,9,28,1,1,1,,0,1024,645,947,69,51,42,69,947,1255,69,645,42,42,3945,3945,947,87,87,465,465,42,369,369,3435,3435,318,318,2925,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
65370000,2,03-01-1949,,1,1,1255,2925,6163,23,20,1,1,1,,0,3945,3945,3945,3945,825,1024,1024,1024,87,87,51,51,42,42,3945,369,3435,3435,369,2925,947,78,1255,87,87,6,6,42,42,645,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,04-01-1949,,1,1,65,369,14807,2,22,1,1,1,,0,2326,58,375,3637,1563,1332,87,87,87,735,69,555,51,42,42,42,42,42,42,3945,3945,369,369,58,4425,2326,1486,1178,87,78,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65370000,2,05-01-1949,,1,1,2522,51,8502,4,23,1,1,1,,0,78,825,87,2326,2326,1409,1101,87,87,87,1178,1178,1178,78,69,645,6,6,555,735,78,6,51,51,51,51,51,51,51,51,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,06-01-1949,,1,1,10192,42,2596,11,4,1,1,1,,0,51,51,51,42,645,78,69,825,2846,4965,9206,594,3411,2733,8578,552,3885,3298,262,2959,2424,2228,2032,164,1738,1486,1486,1409,1332,1255,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
