EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
65370000;2;01/11/1946;;1;1;37,5;9,47;17,488;21;30;1;1;1;;0;34,11;30,72;26,2;23,26;21,3;19,34;17,38;19,34;17,38;15,63;14,09;13,32;12,55;12,55;11,78;11,78;18,36;14,86;12,55;12,55;36,37;29,59;15,63;14,86;13,32;12,55;11,78;11,01;11,01;9,47;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65370000;2;01/12/1946;;1;1;174,5;6,9;28,251;11;5;1;1;1;;0;8,7;8,25;7,8;7,35;6,9;7,8;6,9;6,9;7,35;11,01;174,5;93,63;52,4;45,6;40,2;35,24;31,85;26,2;22,28;19,34;27,33;46,95;35,24;27,33;24,24;21,3;18,36;15,63;14,09;12,55;12,55;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/01/1947;;1;1;27,33;7,8;15,26;15;28;1;1;1;;0;12,55;13,32;12,55;11,01;10,24;9,47;8,7;13,32;24,24;20,32;14,86;11,78;9,47;22,28;26,2;22,28;23,26;21,3;20,32;20,32;18,36;16,4;15,63;14,09;11,78;10,24;8,7;7,8;14,09;14,86;13,32;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/02/1947;;1;1;95,2;11,01;40,816;20;2;1;1;1;;0;12,55;11,01;13,32;12,55;17,38;16,4;15,63;14,86;14,09;16,4;30,72;45,6;55,2;69,35;49,65;34,11;34,11;69,35;62,2;93,63;63,6;69,35;53,8;46,95;56,6;66,45;52,4;45,6;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
65370000;2;01/03/1947;;1;1;37,5;8,25;18,313;1;30;1;1;1;;0;36,37;32,98;29,59;25,22;24,24;22,28;20,32;19,34;19,34;17,38;21,3;21,3;16,4;16,4;16,4;16,4;18,36;30,72;21,3;19,34;17,38;15,63;13,32;11,78;11,78;10,24;8,7;8,7;8,7;8,25;8,25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/04/1947;;1;1;30,72;6,9;13,027;7;27;1;1;1;;0;7,8;7,8;7,35;7,35;8,25;14,09;29,59;23,26;17,38;15,63;14,86;14,09;13,32;11,78;10,24;8,7;16,4;15,63;14,09;11,78;10,24;9,47;9,47;8,25;7,8;7,35;6,9;23,26;20,32;18,36;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65370000;2;01/05/1947;;1;1;30,72;7,8;13,713;19;8;1;1;1;;0;14,09;13,32;17,38;14,09;11,01;10,24;8,7;7,8;13,32;27,33;18,36;14,86;12,55;11,01;10,24;9,47;8,7;8,25;28,46;17,38;14,86;12,55;21,3;17,38;15,63;14,09;12,55;11,78;10,24;9,47;8,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/06/1947;;1;1;235;6,45;45,528;12;8;1;1;1;;0;7,8;7,8;7,8;7,35;7,35;7,35;6,9;6,45;6,45;6,9;156;215;138;184;95,2;55,2;42,9;40,2;40,2;38,85;37,5;37,5;36,37;32,98;28,46;26,2;25,22;23,26;21,3;19,34;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65370000;2;01/07/1947;;1;1;88,92;11,78;22,42;4;25;1;1;1;;0;18,36;17,38;29,59;88,92;51;36,37;31,85;27,33;24,24;22,28;20,32;19,34;18,36;17,38;16,4;15,63;15,63;14,86;14,86;14,09;13,32;13,32;12,55;12,55;11,78;11,78;18,36;25,22;21,3;19,34;21,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/08/1947;;1;1;112;14,09;28,374;1;28;1;1;1;;0;103,6;49,65;38,85;34,11;28,46;25,22;26,2;28,46;35,24;36,37;32,98;30,72;27,33;24,24;23,26;22,28;20,32;19,34;19,34;18,36;17,38;16,4;16,4;15,63;15,63;14,86;14,86;14,09;14,09;14,86;81,07;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
